dataset,aggregate_type,delta,edge,APE
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Admission NC')",0.29882076215368114
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Admission NC')",0.027793023706807467
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release B')",0.10318948984802724
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'IV Antibiotics')",0.01860306052654998
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Leucocytes')",0.0021188185257384603
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Admission NC')",0.0073983680829228455
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'IV Liquid')",0.007044803868337323
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'LacticAcid')",0.0009432674649645308
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'IV Antibiotics')",0.08881612389483735
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'IV Liquid')",0.0440366920358436
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'CRP')",0.029908542625533663
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Admission IC')",0.03755356969912373
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'LacticAcid')",0.009569039687977395
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release B')",0.2040489421565105
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Leucocytes')",0.0040499047428271115
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'IV Antibiotics')",0.02305350390853244
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Admission IC')",0.10173749569819288
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'LacticAcid')",0.037901592444966804
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'LacticAcid')",0.05886458701833083
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'Leucocytes')",0.06486601800591953
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Sepsis Triage')",0.11238077495873491
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Admission IC')",0.3778817121045794
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release C')",0.09290438014001487
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Admission NC')",0.20308707259330672
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Registration')",0.18646749585992736
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'ER Sepsis Triage')",0.1284697637840849
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'ER Triage')",0.41013673739286577
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release C')",0.26588841621633175
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release D')",0.027284780521302242
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'LacticAcid')",0.1416020297008071
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Release A')",0.0313634767787363
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'ER Triage')",0.17533938637780433
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'LacticAcid')",0.028783448017031223
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Release B')",0.1948648861459774
Sepsis,AggregateType.FREQ,0.1,"('Release D', 'Return ER')",0.21401816511278327
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'ER Registration')",0.023214961150145007
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Admission IC')",0.17801953539622223
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'CRP')",0.049209583058872575
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'IV Liquid')",0.12567422232476633
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Triage')",0.025519481325995054
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Registration')",0.06626665215679393
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'ER Sepsis Triage')",0.10552512227198788
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'LacticAcid')",0.05168544611417225
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Triage')",0.15648033753254867
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Leucocytes')",0.0052653853401743705
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'IV Liquid')",0.0695956620289667
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Sepsis Triage')",0.04153334803072691
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Admission IC')",1.969384341150509
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'ER Registration')",0.5704732713531468
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'CRP')",0.008076289310247096
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release B')",0.02630830918228761
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release D')",0.20812973729984963
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Release A')",0.33481395861408236
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Admission IC')",8.58054925141047
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'ER Registration')",0.1793013862928774
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'CRP')",1.4365923400469982
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release E')",0.16494927142313584
Sepsis,AggregateType.FREQ,0.1,"('Release E', 'Return ER')",2.2422902722790394
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Release B')",1.303480197424216
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'ER Triage')",1.2999397023572743
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release D')",0.167352025523698
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'IV Antibiotics')",0.5403660154193648
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release C')",0.01929480172276099
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Admission IC')",0.2907901163641342
Sepsis,AggregateType.FREQ,0.1,"('Release C', 'Return ER')",0.6133648998957604
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Release B')",0.1282016568621578
Sepsis,AggregateType.FREQ,0.1,"('Release B', 'Admission NC')",4.952176823081231
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'IV Antibiotics')",4.905477176365231
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release E')",0.37375682159451684
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'ER Sepsis Triage')",0.05205086772010024
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Release A')",0.4266090183275997
Sepsis,AggregateType.FREQ,0.1,"('Return ER', 'CRP')",2.020437678106734
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'ER Registration')",7.118668908200043
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'Admission IC')",7.515210503082027
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Release E')",0.0229820050458569
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'ER Sepsis Triage')",0.4017325900374633
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Registration')",2.0371858107225864
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'ER Triage')",1.344257715783285
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'Leucocytes')",0.5342246776291595
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Return ER')",5.685501692912997
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'Leucocytes')",0.11920521194966328
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'CRP')",0.0004954031988105891
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'LacticAcid')",0.0006380939388820019
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Triage')",0.23595030017149707
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'ER Sepsis Triage')",0.001352817479126451
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'IV Liquid')",0.013657590437815927
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'IV Antibiotics')",0.0009218152910231916
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Admission NC')",0.0017357395661932028
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'CRP')",0.01017360563682962
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Leucocytes')",0.004052526153933211
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Leucocytes')",0.0021510006728842467
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'CRP')",0.004630670817292743
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release A')",0.005866195698737834
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'ER Triage')",0.0028111143943630947
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'CRP')",0.026075248417690638
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Leucocytes')",0.00834665827359885
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Sepsis Triage')",0.04745908556942702
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release A')",0.0025653845222980702
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Leucocytes')",0.007391159451986902
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'IV Liquid')",0.06017302574861451
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Admission NC')",0.006578918902772882
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Leucocytes')",0.0002732153873477681
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'CRP')",0.020604395916218248
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'IV Liquid')",0.06908529050986117
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'Return ER')",0.002421676139676016
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'CRP')",0.1196922947522192
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'LacticAcid')",0.0043160043398711165
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'IV Antibiotics')",0.00393051397780988
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'IV Liquid')",0.010820998528480747
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Admission NC')",0.07092294733642458
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release A')",0.05256757529540208
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'LacticAcid')",0.01091512512382055
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'CRP')",0.011389973116076018
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Admission NC')",0.013164011415838022
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Admission IC')",0.20340125465866857
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Admission NC')",0.6067819954421019
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Admission NC')",0.013192204421069834
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release B')",0.051803429798527555
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'IV Antibiotics')",0.016571545874092625
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Leucocytes')",0.03052972558521226
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Admission NC')",0.030801354630961376
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'IV Liquid')",0.0045553652715094204
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'LacticAcid')",0.008530860258222266
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'IV Antibiotics')",0.03309446579404887
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'IV Liquid')",0.08423799575667071
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'CRP')",0.03279022439863836
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Admission IC')",0.0549283899129092
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'LacticAcid')",0.0007247509162255374
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release B')",0.08236880168367608
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Leucocytes')",0.06747291460761615
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'IV Antibiotics')",0.03318489261966097
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Admission IC')",0.016923192690597326
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'LacticAcid')",0.03831465244150567
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'LacticAcid')",0.014525069504032552
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'Leucocytes')",0.009062165858509549
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Sepsis Triage')",0.06742583844005608
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Admission IC')",0.05306449553297032
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release C')",0.16080887269434477
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Admission NC')",0.12654793846595574
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Registration')",0.3762537201914948
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'ER Sepsis Triage')",0.03574746063038991
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'ER Triage')",0.1424912953442433
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release C')",1.0462058142585087
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release D')",0.03665658504455829
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'LacticAcid')",0.27410458680604727
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Release A')",1.7110063653206449
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'ER Triage')",0.14929985819854497
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'LacticAcid')",0.08423023023279269
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Release B')",0.48814704779247475
Sepsis,AggregateType.FREQ,0.1,"('Release D', 'Return ER')",0.3352824600717582
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'ER Registration')",1.2785200009086632
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Admission IC')",0.7004784326261742
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'CRP')",0.12593398406039924
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'IV Liquid')",0.14180115411995783
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Triage')",0.015714540691878717
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Registration')",0.17182551617010386
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'ER Sepsis Triage')",0.0032721524341598395
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'LacticAcid')",0.24545030090051884
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Triage')",0.09759692772569392
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Leucocytes')",0.030876870996983247
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'IV Liquid')",0.09416378825381438
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Sepsis Triage')",0.03189930650074884
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Admission IC')",0.24492246383021854
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'ER Registration')",0.26719916568099433
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'CRP')",0.12152086955884021
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release B')",0.15632312448190966
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release D')",0.28501408533200606
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Release A')",0.7374313884758283
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Admission IC')",0.13938395834977957
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'ER Registration')",0.04807235516546499
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'CRP')",0.6766689801741639
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release E')",2.0242288023455246
Sepsis,AggregateType.FREQ,0.1,"('Release E', 'Return ER')",1.5014712965621602
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Release B')",4.061246276428314
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'ER Triage')",0.393570128796812
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release D')",0.11428065734514492
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'IV Antibiotics')",0.041209289304091845
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release C')",0.1485241592717632
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Admission IC')",1.2339280433957514
Sepsis,AggregateType.FREQ,0.1,"('Release C', 'Return ER')",0.7510413605669779
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Release B')",0.6294099429624043
Sepsis,AggregateType.FREQ,0.1,"('Release B', 'Admission NC')",3.2357214018957947
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'IV Antibiotics')",3.4818604668224538
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release E')",2.311371620056308
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'ER Sepsis Triage')",1.7309313593606188
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Release A')",1.6595350952876196
Sepsis,AggregateType.FREQ,0.1,"('Return ER', 'CRP')",0.13507368808251416
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'ER Registration')",5.821013211834238
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'Admission IC')",0.26134673417853405
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Release E')",0.13759325686148993
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'ER Sepsis Triage')",2.4815596668104014
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Registration')",1.2762909551130934
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'ER Triage')",0.09273920660181068
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'Leucocytes')",3.2707696289430483
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Return ER')",2.410405996121122
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'Leucocytes')",0.014499587532138017
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'CRP')",0.0023565010684478693
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'LacticAcid')",0.002494999768459994
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Triage')",0.21521110128602064
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'ER Sepsis Triage')",0.000352636784942128
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'IV Liquid')",0.005986768382742986
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'IV Antibiotics')",0.009500486878564147
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Admission NC')",0.0008091254678361027
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'CRP')",0.0018656632419851093
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Leucocytes')",0.0011829015133544625
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Leucocytes')",0.0026428105241478638
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'CRP')",0.0064585132688213965
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Release A')",0.001144090004597855
Sepsis,AggregateType.FREQ,0.1,"('ER Registration', 'ER Triage')",0.0006805466892329857
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'CRP')",0.07546867127464685
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Leucocytes')",0.011680702784597048
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'ER Sepsis Triage')",0.24330619562892192
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release A')",0.012038413808645615
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Leucocytes')",0.003696798460355383
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'IV Liquid')",0.017498077262181774
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Admission NC')",0.01578913744775946
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Leucocytes')",0.013300225915316434
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'CRP')",0.0011303068377685281
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'IV Liquid')",0.02218781036725589
Sepsis,AggregateType.FREQ,0.1,"('Release A', 'Return ER')",0.004214786428073086
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'CRP')",0.04548985626863904
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'LacticAcid')",0.0005787089200860715
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'IV Antibiotics')",0.0013210052761488515
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'IV Liquid')",0.1337453380426331
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Admission NC')",0.03365345655249067
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release A')",0.009074025171989708
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'LacticAcid')",0.08622347985693692
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'CRP')",0.00035032824258273153
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Admission NC')",0.00346806514492619
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'Admission IC')",0.10689706402432995
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'Admission NC')",0.7388574209785159
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Admission NC')",0.032904623023987424
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Release B')",0.16481368577578023
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'IV Antibiotics')",0.05713217508474786
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Leucocytes')",0.054096650866648104
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'Admission NC')",0.04825218375387812
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'IV Liquid')",0.07403265726107443
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'LacticAcid')",0.003939208587644009
Sepsis,AggregateType.FREQ,0.1,"('Leucocytes', 'IV Antibiotics')",0.007733436858637632
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'IV Liquid')",0.16154927447982798
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'CRP')",0.014881527654483584
Sepsis,AggregateType.FREQ,0.1,"('Admission NC', 'Admission IC')",0.19437358096126262
Sepsis,AggregateType.FREQ,0.1,"('Admission IC', 'LacticAcid')",0.032595331897431586
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release B')",0.2658129323249352
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'Leucocytes')",0.11177464275525673
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'IV Antibiotics')",0.04686401221687184
Sepsis,AggregateType.FREQ,0.1,"('IV Antibiotics', 'Admission IC')",0.1978108335782609
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'LacticAcid')",0.01848162881892937
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'LacticAcid')",2.8513203222699543e-05
Sepsis,AggregateType.FREQ,0.1,"('ER Triage', 'Leucocytes')",0.032931317107614294
Sepsis,AggregateType.FREQ,0.1,"('LacticAcid', 'ER Sepsis Triage')",0.05527486932180298
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Admission IC')",0.2104807935779626
Sepsis,AggregateType.FREQ,0.1,"('CRP', 'Release C')",0.17082443052094107
Sepsis,AggregateType.FREQ,0.1,"('ER Sepsis Triage', 'Admission NC')",0.015504672741040193
Sepsis,AggregateType.FREQ,0.1,"('IV Liquid', 'ER Registration')",0.3063696821633499
