dataset,aggregate_type,delta,edge,APE
CCC19,AggregateType.AVG,0.01,"('Prepare implements', 'Cover probe')",0.15743953029190688
CCC19,AggregateType.AVG,0.01,"('Position probe', 'Prepare implements')",0.0
CCC19,AggregateType.AVG,0.01,"('Position probe', 'Anesthetize')",0.0
CCC19,AggregateType.AVG,0.01,"('Prepare implements', 'Get in sterile clothes')",1.5476445072147567
CCC19,AggregateType.AVG,0.01,"('Get in sterile clothes', 'Ultrasound configuration')",0.3457931878992928
CCC19,AggregateType.AVG,0.01,"('Clean puncture area', 'Prepare implements')",0.0
CCC19,AggregateType.AVG,0.01,"('Prepare implements', 'Drap puncture area')",0.041889907451154326
CCC19,AggregateType.AVG,0.01,"('Cover probe', 'Gel in probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Gel in probe', 'Put sterile gel')",0.0
CCC19,AggregateType.AVG,0.01,"('Anesthetize', 'Compression identification')",0.0
CCC19,AggregateType.AVG,0.01,"('Compression identification', 'Puncture')",0.05446269730035499
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Compression identification')",0.0
CCC19,AggregateType.AVG,0.01,"('Compression identification', 'Anatomic identification')",0.0
CCC19,AggregateType.AVG,0.01,"('Anatomic identification', 'Puncture')",0.7143562068782582
CCC19,AggregateType.AVG,0.01,"('Remove guidewire', 'Check catheter position')",0.0
CCC19,AggregateType.AVG,0.01,"('Check catheter position', 'Check flow and reflow')",0.0
CCC19,AggregateType.AVG,0.01,"('Drap puncture area', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Prepare implements', 'Position patient')",0.0
CCC19,AggregateType.AVG,0.01,"('Position patient', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Gel in probe', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Hand washing')",0.0
CCC19,AggregateType.AVG,0.01,"('Position probe', 'Anatomic identification')",0.07553960361438854
CCC19,AggregateType.AVG,0.01,"('Compression identification', 'Prepare implements')",0.018718949804588193
CCC19,AggregateType.AVG,0.01,"('Drop probe', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Drop probe', 'Guidewire install')",0.0
CCC19,AggregateType.AVG,0.01,"('Guidewire install', 'Position probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Advance catheter', 'Check wire in short axis')",0.8546323356774103
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Remove guidewire')",0.0
CCC19,AggregateType.AVG,0.01,"('Remove guidewire', 'Position probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Remove trocar', 'Check wire in long axis')",0.7945819296341431
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Check wire in short axis')",0.5851447117039018
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Clean puncture area')",0.0
CCC19,AggregateType.AVG,0.01,"('Drap puncture area', 'Gel in probe')",0.32148587354273206
CCC19,AggregateType.AVG,0.01,"('Position probe', 'Compression identification')",0.0
CCC19,AggregateType.AVG,0.01,"('Anesthetize', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Get in sterile clothes', 'Position patient')",0.0
CCC19,AggregateType.AVG,0.01,"('Position patient', 'Clean puncture area')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in short axis', 'Wire in good position')",0.0
CCC19,AggregateType.AVG,0.01,"('Advance catheter', 'Advance catheter')",0.05032276314442438
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Position patient')",0.0
CCC19,AggregateType.AVG,0.01,"('Position patient', 'Hand washing')",0.5055659242613978
CCC19,AggregateType.AVG,0.01,"('Anesthetize', 'Drap puncture area')",0.0
CCC19,AggregateType.AVG,0.01,"('Put sterile gel', 'Prepare implements')",0.2181810722780428
CCC19,AggregateType.AVG,0.01,"('Doppler identification', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Check flow and reflow', 'Position probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Put sterile gel')",0.3183884682723752
CCC19,AggregateType.AVG,0.01,"('Remove syringe', 'Check wire in short axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Guidewire install')",0.0
CCC19,AggregateType.AVG,0.01,"('Guidewire install', 'Blood return')",1.4863377408385579
CCC19,AggregateType.AVG,0.01,"('Blood return', 'Guidewire install')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in short axis', 'Remove trocar')",0.0
CCC19,AggregateType.AVG,0.01,"('Hand washing', 'Prepare implements')",0.0
CCC19,AggregateType.AVG,0.01,"('Anesthetize', 'Gel in probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Blood return', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Compression identification', 'Get in sterile clothes')",0.0
CCC19,AggregateType.AVG,0.01,"('Puncture', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Puncture', 'Drop probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Remove syringe', 'Check wire in long axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Guidewire install', 'Check wire in long axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Wire in good position', 'Check wire in long axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Remove trocar', 'Advance catheter')",0.0
CCC19,AggregateType.AVG,0.01,"('Advance catheter', 'Widen pathway')",0.0
CCC19,AggregateType.AVG,0.01,"('Position patient', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Cover probe', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Advance catheter', 'Puncture')",0.0
