dataset,aggregate_type,emd,edge,delta
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Put sterile gel')",0.6638428849971039
CCC19,AggregateType.AVG,0.01,"('Remove syringe', 'Check wire in short axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Guidewire install')",0.0
CCC19,AggregateType.AVG,0.01,"('Guidewire install', 'Blood return')",0.48754785164383974
CCC19,AggregateType.AVG,0.01,"('Blood return', 'Guidewire install')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in short axis', 'Remove trocar')",0.0
CCC19,AggregateType.AVG,0.01,"('Hand washing', 'Prepare implements')",0.0
CCC19,AggregateType.AVG,0.01,"('Anesthetize', 'Gel in probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Blood return', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Compression identification', 'Get in sterile clothes')",0.0
CCC19,AggregateType.AVG,0.01,"('Puncture', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Check wire in long axis', 'Puncture')",0.0
CCC19,AggregateType.AVG,0.01,"('Puncture', 'Drop probe')",0.0
CCC19,AggregateType.AVG,0.01,"('Remove syringe', 'Check wire in long axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Guidewire install', 'Check wire in long axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Wire in good position', 'Check wire in long axis')",0.0
CCC19,AggregateType.AVG,0.01,"('Remove trocar', 'Advance catheter')",0.0
CCC19,AggregateType.AVG,0.01,"('Advance catheter', 'Widen pathway')",0.0
CCC19,AggregateType.AVG,0.01,"('Position patient', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Cover probe', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Ultrasound configuration', 'Ultrasound configuration')",0.0
CCC19,AggregateType.AVG,0.01,"('Advance catheter', 'Puncture')",0.0
